"","X","X.1","lakeID","dateSample","time","TOD","depthClass","counts","ind_m3","mgC_L","EPA_mgC","DHA_mgC","PC","C18_mgC","depth","DOmgL","temp","PAR","CPUE","fish_m3","zoops.allDepths","depthZoops","Daphnia","Copepods","Holopedium","lx","reactionDist","muEst","mu0","mu0.01","mu0.1","mu0.25","mu0.5","mu1","mu5","growth"
"46",48,48,"DW","6/10/13","23:00","Night","Hypo",37,2466.66666666667,0.7245,0.00145040862414611,0,0.00699219461697723,0,5,4.39,5.5,0,2.144472789,0.006143914540485,233733.333333333,150200,69933.3333333333,37400,20466.6666666667,0,0,0.0195599359909663,0.0195599359909663,0.0195599359909663,0.0195599359909663,0.0195599359909663,0.0195599359909663,0.0195599359909663,0.0195599359909663,0.0354706057624685
"47",49,49,"DW","6/11/13","11:00","Day","PML",0,0,0.5465,0,0,0.00641224885635865,0,0.5,8.5,20.3,323,2.144472789,0.006143914540485,186333.333333333,76066.6666666667,40066.6666666667,7000,5600,17442,0.420095808728981,3.69097169198098e-05,0,6.00752446613559e-05,0.000600752446613559,0.0015018811165339,0.00300376223306779,0.00600752446613559,0.0300376223306779,0.0440682220316777
"48",50,50,"DW","6/11/13","11:00","Day","Hypo",0,0,0.7245,0.00145040862414611,0,0.00699219461697723,0,5,5,5.8,0.1125,2.144472789,0.006143914540485,186333.333333333,110266.666666667,54066.6666666667,27200,16000,6.075,0.38133248720202,3.04124655015864e-05,0,4.95001440875928e-05,0.000495001440875928,0.00123750360218982,0.00247500720437964,0.00495001440875928,0.0247500720437964,0.0356305831675994
"49",51,51,"CB","6/12/13","11:30","Day","PML",0,0,0.847,0,0,0.00830107792207792,0.000936006917420366,0.25,6.8025,0,1800.5,0,0,408866.666666667,162600,12266.6666666667,134800,1533.33333333333,97227,0.421548388136639,0,0,2.75678288922126e-05,0.000275678288922126,0.000689195722305315,0.00137839144461063,0.00275678288922126,0.0137839144461063,0.0325217558915722
"50",52,52,"CB","6/12/13","11:30","Day","Hypo",11,733.333333333333,1.078,0.000792264948054935,0,0.00842641649048626,0.00154190450117747,4,0.23,5,0,0,0,408866.666666667,246266.666666667,7200,169066.666666667,1133.33333333333,0,0,0.0564820073572973,0.0564820073572973,0.0564820073572973,0.0564820073572973,0.0564820073572973,0.0564820073572973,0.0564820073572973,0.0564820073572973,0.10869732873781
"51",53,53,"CB","6/12/12","11:30","Day","PML",0,0,0.847,0.00122100829380117,0,0.00830107792207792,0.00514781113330439,0.5,8.14,20.6,378.466,0,0,333866.666666667,161666.666666667,4466.66666666667,36466.6666666667,800,20437.164,0.420250363036202,0,0,3.35530912155495e-05,0.000335530912155495,0.000838827280388739,0.00167765456077748,0.00335530912155495,0.0167765456077748,0.0434370441965446
"52",54,54,"CB","6/12/12","11:30","Day","Hypo",0,0,1.078,0,0.000791774034194011,0.00842641649048626,0.000959918555297811,3.5,1.81,5,0,0,0,333866.666666667,172200,3733.33333333333,43000,2466.66666666667,0,0,0,0,0,0,0,0,0,0,0.0963758802193944
"53",55,55,"CB","6/11/13","23:00","Night","PML",29,1933.33333333333,0.847,0,0,0.00830107792207792,0.000936006917420366,0.25,6.8025,0,0,0,0,189333.333333333,141200,19733.3333333333,118400,933.333333333333,0,0,0.054330972679071,0.054330972679071,0.054330972679071,0.054330972679071,0.054330972679071,0.054330972679071,0.054330972679071,0.054330972679071,0.0325217558915722
"54",56,56,"CB","6/11/13","23:00","Night","Hypo",19,1266.66666666667,1.078,0.000792264948054935,0,0.00842641649048626,0.00154190450117747,4,0.14,5,0,0,0,189333.333333333,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"55",57,57,"RE","6/13/13","0:00","Night","PML",2,133.333333333333,1.09,0.000842051422406147,0,0.00842238532110092,0.00239014495026903,0.25,4.85,0,0,0,0,180133.333333333,61266.6666666667,7533.33333333333,28466.6666666667,0,0,0,0.00981505518035092,0.00981505518035092,0.00981505518035092,0.00981505518035092,0.00981505518035092,0.00981505518035092,0.00981505518035092,0.00981505518035092,0.0324524587369339
"56",58,58,"RE","6/13/13","0:00","Night","Hypo",0,0,1.39083333333333,0,0,0.00997238466147394,0.00150618427607992,9,0.08,4,0,0,0,180133.333333333,118866.666666667,7600,48600,333.333333333333,0,0,0,0,0,0,0,0,0,0,0
"57",59,59,"BA","5/20/13","11:00","Day","PML",0,0,0.9455,0.000640376156886874,0,0.00450775295109612,0.00172769302085614,0.75,9.66,16.4,150.5,0.769349299,0.002204185741635,475266.666666667,241133.333333333,2866.66666666667,70866.6666666667,7866.66666666667,8127,0.419276621483524,5.17132141534747e-06,0,2.34613686027727e-05,0.000234613686027727,0.000586534215069318,0.00117306843013864,0.00234613686027727,0.0117306843013864,-0.00688176224329117
"58",60,60,"BA","5/20/13","11:00","Day","Hypo",1,66.6666666666667,0.832,0,0,0.00587986595174263,0.000638387104693775,6,6.92,5.5,3.24571428571429,0.769349299,0.002204185741635,475266.666666667,234133.333333333,4800,70000,13933.3333333333,175.268571428572,0.411652973609089,0.00770707688467681,0.00770209191235873,0.0077247078481391,0.00792825127016246,0.00826749030686806,0.00883288870137739,0.00996368549039606,0.0190100598025454,0.0356657399203006
"59",61,61,"RE","6/3/13","0:00","Night","PML",0,0,1.09,0.000963143315524183,0.000875684953434777,0.00842238532110092,0.00132191221778683,0.5,6.12,21.2,0,0,0,511400,344400,2933.33333333333,128933.333333333,1666.66666666667,0,0,0,0,0,0,0,0,0,0,0.113894936000811
"60",62,62,"RE","6/3/13","0:00","Night","Hypo",2,133.333333333333,1.39083333333333,0,0,0.00997238466147394,0.00150618427607992,9,0.05,4,0,0,0,511400,167000,2466.66666666667,78000,66.6666666666667,0,0,0.0299757090643149,0.0299757090643149,0.0299757090643149,0.0299757090643149,0.0299757090643149,0.0299757090643149,0.0299757090643149,0.0299757090643149,0
"61",63,63,"RS","6/13/13","12:00","Day","PML",1,66.6666666666667,1.5,0.00216239328329319,0.000949351387419273,0.00835301818181818,0.00411412191017916,0.5,7.52,20.9,138.6,5.235056842,0.01499843785233,336066.666666667,182266.666666667,4866.66666666667,139866.666666667,133.333333333333,7484.4,0.419180095273757,0.00764632443580877,0.00759658380397025,0.00762974767898726,0.00792822255414043,0.00842568067939571,0.00925477755482118,0.0109129713056721,0.0241785213124795,0.110758246895273
