"","X","X.3","X.2","X.1","lakeID","dateSample","time","TOD","depthClass","counts","ind_m3","mgC_L","EPA_mgC","DHA_mgC","PC","C18_mgC","depth","DOmgL","temp","PAR","CPUE","fish_m3","zoops.allDepths","depthZoops","Daphnia","Copepods","Holopedium","lx","reactionDist","mu","growth"
"55",55,55,57,57,"RE","6/13/13","0:00","Night","PML",2,133.333333333333,1.09,0.000842051422406147,0,0.00842238532110092,0.00239014495026903,0.25,4.85,0,0,0,0,180133.333333333,61266.6666666667,7533.33333333333,28466.6666666667,0,0,0,0,0.0297302973010412
"56",56,56,58,58,"RE","6/13/13","0:00","Night","Hypo",0,0,1.39083333333333,0,0,0.00997238466147394,0.00150618427607992,9,0.08,4,0,0,0,180133.333333333,118866.666666667,7600,48600,333.333333333333,0,0,0,0
"57",57,57,59,59,"BA","5/20/13","11:00","Day","PML",0,0,0.9455,0.000640376156886874,0,0.00450775295109612,0.00172769302085614,0.75,9.66,16.4,150.5,4.90691596474801,0.140288727432146,475266.666666667,241133.333333333,2866.66666666667,70866.6666666667,7866.66666666667,8127,0.419276621483524,0.000329136554509949,-0.00683234151001243
"58",58,58,60,60,"BA","5/20/13","11:00","Day","Hypo",1,66.6666666666667,0.832,0,0,0.00587986595174263,0.000638387104693775,6,6.92,5.5,3.24571428571429,4.90691596474801,0.140288727432146,475266.666666667,234133.333333333,4800,70000,13933.3333333333,175.268571428572,0.411652973609089,0.000317276085031571,0.034626935389973
"59",59,59,61,61,"RE","6/3/13","0:00","Night","PML",0,0,1.09,0.000963143315524183,0.000875684953434777,0.00842238532110092,0.00132191221778683,0.5,6.12,21.2,0,0,0,511400,344400,2933.33333333333,128933.333333333,1666.66666666667,0,0,0,0.108902338031467
"60",60,60,62,62,"RE","6/3/13","0:00","Night","Hypo",2,133.333333333333,1.39083333333333,0,0,0.00997238466147394,0.00150618427607992,9,0.05,4,0,0,0,511400,167000,2466.66666666667,78000,66.6666666666667,0,0,0,0
"61",61,61,63,63,"RS","6/13/13","12:00","Day","PML",1,66.6666666666667,1.5,0.00216239328329319,0.000949351387419273,0.00835301818181818,0.00411412191017916,0.5,7.52,20.9,138.6,5.72375779832262,0.163642235454044,336066.666666667,182266.666666667,4866.66666666667,139866.666666667,133.333333333333,7484.4,0.419180095273757,0.000542701064410344,0.108384119707116
"62",62,62,64,64,"RS","6/13/13","12:00","Day","Hypo",2,133.333333333333,1.22166666666667,0,0,0.00927973583509514,0.000712529333162212,4,0.12,6.5,0,5.72375779832262,0.163642235454044,336066.666666667,153800,3933.33333333333,113600,133.333333333333,0,0,0,0
"63",63,63,65,65,"RS","6/13/13","23:30","Night","PML",81,5400,1.5,0.00216239328329319,0.000949351387419273,0.00835301818181818,0.00411412191017916,0.5,7.52,20.9,0,5.72375779832262,0.163642235454044,296000,136133.333333333,16000,81733.3333333333,1533.33333333333,0,0,0,0.108384119707116
"64",64,64,66,66,"RS","6/13/13","23:30","Night","Hypo",30,2000,1.22166666666667,0,0,0.00927973583509514,0.000712529333162212,4,0.12,6.5,0,5.72375779832262,0.163642235454044,296000,159866.666666667,11333.3333333333,102866.666666667,1133.33333333333,0,0,0,0
