Row,Lake_ID,Site Name,date set,datesample,datetimeset,datetimesample,Sample_ID,Fish_ID,Crew,Gear,gear_code,Effort,Effort_units,Fish_Num,Species,SpeciesFull,Length_mm,Weight_g,Tag Apply,Tag Recapture,Clip_apply,Clip_recap,tag_clip_type,Sex,Mort.,Removed,Diet,Otolith,Tissue,Comments,MetaID
51,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__051,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,051,BHD,black_bullhead
52,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__052,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,052,BHD,black_bullhead
53,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__053,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,053,BHD,black_bullhead
54,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__054,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,054,BHD,black_bullhead
55,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__055,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,055,BHD,black_bullhead
56,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__056,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,056,BHD,black_bullhead
57,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__057,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,057,BHD,black_bullhead
58,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__058,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,058,BHD,black_bullhead
59,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__059,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,059,BHD,black_bullhead
60,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__060,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,060,BHD,black_bullhead
61,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__061,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,061,BHD,black_bullhead
62,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__062,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,062,BHD,black_bullhead
63,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__063,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,063,BHD,black_bullhead
64,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__064,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,064,BHD,black_bullhead
65,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__065,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,065,BHD,black_bullhead
66,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__066,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,066,BHD,black_bullhead
67,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__067,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,067,BHD,black_bullhead
68,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__068,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,068,BHD,black_bullhead
